,,,,score_tst,score_tst,score_tst,score_tst,score_tst,score_tst,score_tst
,,,,mean,std,tval,pval,significant,ntest,df
dataset,evaluation,adaptation,method,,,,,,,
BNCI2014001,inter-subject,no,ShConvNet,0.4220679012345679,0.16171351838833795,-4.153004627548342,0.015625,True,10.0,8.0
BNCI2014001,inter-subject,uda,FBCSP+DSS+LDA,0.4834104938271605,0.14277102419837012,-2.1284249795097323,0.21875,False,10.0,8.0
BNCI2014001,inter-subject,uda,URPA+MDM,0.4683641975308643,0.14627129635783986,-1.9370766763048777,0.26171875,False,10.0,8.0
BNCI2014001,inter-subject,uda,SPDOT+TSM+SVM,0.38599537037037035,0.08567844653030118,-3.9281624866160754,0.0234375,True,10.0,8.0
BNCI2014001,inter-subject,uda,EEGNet+DANN,0.4575617283950617,0.17982187489119936,-3.2160799542728786,0.05859375,False,10.0,8.0
BNCI2014001,inter-subject,uda,ShConvNet+DANN,0.4220679012345679,0.13625830325044283,-5.003790574650163,0.01171875,True,10.0,8.0
BNCI2014001,inter-subject,uda,TSMNet+SPDDSMBN,0.515625,0.1646241671684175,,,,,
BNCI2015001,inter-subject,no,FBCSP+SVM,0.5861111111111111,0.13399472953100633,-4.729232981002474,0.00341796875,True,10.0,11.0
BNCI2015001,inter-subject,no,TSM+SVM,0.5597916666666668,0.060415360487447944,-6.133387676274772,0.00048828125,True,10.0,11.0
BNCI2015001,inter-subject,no,FB+TSM+LR,0.6064583333333333,0.10862962105570959,-4.440047669226266,0.00634765625,True,10.0,11.0
BNCI2015001,inter-subject,no,EEGNet,0.5915277777777778,0.09525141726810411,-5.511923078770439,0.0009765625,True,10.0,11.0
BNCI2015001,inter-subject,no,ShConvNet,0.5873611111111111,0.058129333045110365,-5.506886040183867,0.0009765625,True,10.0,11.0
BNCI2015001,inter-subject,uda,FBCSP+DSS+LDA,0.6771527777777777,0.1430575475491399,-4.939331997387102,0.00244140625,True,10.0,11.0
BNCI2015001,inter-subject,uda,URPA+MDM,0.7028472222222223,0.16088002083134376,-4.347217999037182,0.00634765625,True,10.0,11.0
BNCI2015001,inter-subject,uda,SPDOT+TSM+SVM,0.6334722222222221,0.08082812645939551,-7.471864797169967,0.00048828125,True,10.0,11.0
BNCI2015001,inter-subject,uda,EEGNet+DANN,0.6370833333333333,0.11148532312698058,-6.274124537824598,0.00048828125,True,10.0,11.0
BNCI2015001,inter-subject,uda,ShConvNet+DANN,0.6424305555555557,0.1156964300701471,-6.625843769962264,0.00048828125,True,10.0,11.0
BNCI2015001,inter-subject,uda,TSMNet+SPDDSMBN,0.7697222222222223,0.13655452408154792,,,,,
Lee2019,inter-subject,no,FBCSP+SVM,0.6337037037037037,0.12103011158613404,-9.595099026980888,0.0001,True,10.0,53.0
Lee2019,inter-subject,no,TSM+SVM,0.6529629629629632,0.12975855124516414,-10.23639993800893,0.0001,True,10.0,53.0
Lee2019,inter-subject,no,FB+TSM+LR,0.6853703703703701,0.12384504869655746,-8.072343629783441,0.0001,True,10.0,53.0
Lee2019,inter-subject,no,EEGNet,0.6962037037037035,0.13817522094839205,-6.165060269574829,0.0001,True,10.0,53.0
Lee2019,inter-subject,no,ShConvNet,0.6847222222222222,0.13585653041111387,-7.32214770605179,0.0001,True,10.0,53.0
Lee2019,inter-subject,uda,FBCSP+DSS+LDA,0.6867592592592593,0.13830564118772096,-6.706060270301906,0.0001,True,10.0,53.0
Lee2019,inter-subject,uda,URPA+MDM,0.6671296296296297,0.1228344562157642,-7.812395189722006,0.0001,True,10.0,53.0
Lee2019,inter-subject,uda,SPDOT+TSM+SVM,0.6538888888888886,0.10457761704791992,-8.243239556535594,0.0001,True,10.0,53.0
Lee2019,inter-subject,uda,EEGNet+DANN,0.6944444444444444,0.13091718059941798,-6.099977928287262,0.0001,True,10.0,53.0
Lee2019,inter-subject,uda,ShConvNet+DANN,0.6603703703703703,0.12446054103743859,-9.077500002842049,0.0001,True,10.0,53.0
Lee2019,inter-subject,uda,TSMNet+SPDDSMBN,0.7462037037037037,0.14220611928950966,,,,,
Stieger2021,inter-subject,no,FBCSP+SVM,0.3755925958597914,0.1048457438790912,-8.280162178353459,0.0001,True,10.0,40.0
Stieger2021,inter-subject,no,TSM+SVM,0.4015413505815397,0.12274395106368793,-8.039205066488881,0.0001,True,10.0,40.0
Stieger2021,inter-subject,no,FB+TSM+LR,0.40266013578737714,0.0915895057939453,-7.445422163255575,0.0001,True,10.0,40.0
Stieger2021,inter-subject,no,EEGNet,0.43118224390381593,0.10966154193905014,-3.982938343099151,0.0014,True,10.0,40.0
Stieger2021,inter-subject,no,ShConvNet,0.422132722241931,0.10379383390490549,-5.193509674761506,0.0001,True,10.0,40.0
Stieger2021,inter-subject,uda,FBCSP+DSS+LDA,0.48164079083823624,0.13360063933918548,-3.5676516829225577,0.005,True,10.0,40.0
Stieger2021,inter-subject,uda,URPA+MDM,0.38745178278524994,0.1044077762919464,-7.40421988324339,0.0001,True,10.0,40.0
Stieger2021,inter-subject,uda,SPDOT+TSM+SVM,0.420957151986992,0.10503501113301872,-6.009365674069842,0.0001,True,10.0,40.0
Stieger2021,inter-subject,uda,EEGNet+DANN,0.43566333485877357,0.1071914888537959,-4.059917537433422,0.0012,True,10.0,40.0
Stieger2021,inter-subject,uda,ShConvNet+DANN,0.4313839084687275,0.11450734917495949,-4.956047826466105,0.0001,True,10.0,40.0
Stieger2021,inter-subject,uda,TSMNet+SPDDSMBN,0.48874273259876816,0.1428469991905944,,,,,
Hinss2021,inter-subject,no,FBCSP+SVM,0.45585384041759874,0.06473473057281744,-2.5690666363495436,0.1095,False,10.0,14.0
Hinss2021,inter-subject,no,TSM+SVM,0.41744966442953024,0.07365121742250426,-4.777893468173234,0.0031,True,10.0,14.0
Hinss2021,inter-subject,no,FB+TSM+LR,0.4510812826249069,0.05024576817026839,-3.773547449663845,0.0137,True,10.0,14.0
Hinss2021,inter-subject,no,EEGNet,0.47807606263982105,0.05142425522088257,-2.131205387171425,0.2227,False,10.0,14.0
Hinss2021,inter-subject,no,ShConvNet,0.45906040268456383,0.06814065227545628,-3.1389886465439485,0.0408,True,10.0,14.0
Hinss2021,inter-subject,uda,FBCSP+DSS+LDA,0.48434004474272935,0.08952240368692488,-1.9952926161570728,0.2715,False,10.0,14.0
Hinss2021,inter-subject,uda,URPA+MDM,0.48351976137211033,0.06109335293799766,-1.8277890517184718,0.3466,False,10.0,14.0
Hinss2021,inter-subject,uda,SPDOT+TSM+SVM,0.40432513049962715,0.07491290101610497,-5.940800459950273,0.0007,True,10.0,14.0
Hinss2021,inter-subject,uda,EEGNet+DANN,0.5002982848620433,0.07315967244974421,-1.2562841336277326,0.6999,False,10.0,14.0
Hinss2021,inter-subject,uda,ShConvNet+DANN,0.4882177479492915,0.05701699728241901,-2.084124205207401,0.2391,False,10.0,14.0
Hinss2021,inter-subject,uda,TSMNet+SPDDSMBN,0.5242356450410142,0.0884605604358031,,,,,
